COMPANY_ID,IQ_BUSINESS_DESCRIPTION
268899196,"Synlogic, Inc., a clinical-stage biopharmaceutical company, engages in the discovery and development of synthetic biotics to treat metabolic diseases in the United States. Its pipeline include SYNB1618, an orally administered, non-systemically absorbed drug candidate to treat phenylketonuria; SYNB1934, an orally administered, non-systemically absorbed drug candidate, which is in Phase III clinical trial to treat phenylketonuria; SYNB1353, an orally administered, non-systemically absorbed drug candidate, which is in Phase I clinical to treat homocystinuria; SYNB8802, an orally administered, non-systemically absorbed drug candidate that is in Phase II clinical trial for the treatment of enteric hyperoxaluria; and SYNB2081 to lower uric acid for the potential treatment of gout. The company has a collaboration agreement with F. Hoffmann-La Roche Ltd and Hoffmann-La Roche Inc. for the research and pre-clinical development of a synthetic biotic medicine for the treatment of inflammatory bowel disease; and Ginkgo Bioworks, Inc. Synlogic, Inc. is based in Cambridge, Massachusetts."
520083,"Scancell Holdings plc, a clinical stage biopharmaceutical company, engages in the discovery and development of novel immunotherapies and vaccines for the treatment of cancer and infectious disease. Its product candidates include SCIB1, an ImmunoBody cancer vaccine that is in Phase II for the treatment of metastatic melanoma; and SCIB2/iSCIB2 vaccine, which is under evaluation for the treatment of patients with solid tumors, including non-small cell lung cancer. It also develops Modi-1, a citrullinated peptides vaccine that is in phase I/II clinical trials for the treatment of solid tumors including triple negative breast, melanoma, ovarian, lung, and pancreatic cancers; and Modi-2, which targets homocitrullinated cancer antigens. In addition, the company focuses to develop SCOV1 and SCOV2 COVIDITY, a DNA vaccine against the SARS-CoV-2 virus. Scancell Holdings plc was founded in 1997 and is based in Oxford, the United Kingdom."
553592932,"As of April 30, 2021, Tilray, Inc. prior to merger with Aphria Inc. was acquired by Tilray, Inc., in a reverse merger transaction. Tilray, Inc. engages in the research, cultivation, processing, and distribution of medical cannabis. The company offers its products to patients, physicians, clinics, pharmacies, governments, and hospitals; and for researchers for commercial purposes, as well as compassionate access and clinical research applications. It operates in Argentina, Australia, Canada, Chile, Croatia, Cyprus, Germany, Israel, New Zealand, Portugal, Spain, Africa, Switzerland, the United States, Malta, and the United Kingdom. The company was incorporated in 2018 and is based in Nanaimo, Canada."
319074,"Hi-Tech Pharmacal Co., Inc. operates as a specialty pharmaceutical company that develops, manufactures, and markets generic and branded prescription, and over-the-counter (OTC) products in the United States. It operates in three segments: Generic Pharmaceuticals, OTC Branded Pharmaceuticals, and Prescription Brands. The company manufactures liquid and semi-solid dosage forms; and produces a range of sterile ophthalmic, otic, and inhalation products. Its generic products include oral solutions and suspensions, topical creams, and ointments, as well as nasal sprays. Hi-Tech Pharmacal Co. also markets OTC branded products, such as Diabetic Tussin, DiabetiDerm, Multi-betic, Mag-Ox, Choice DM, and DiabetiSweet primarily for people with diabetes; capsaicin products under the Zostrix brand name for pain management of conditions comprising arthritis and foot pain; Nasal Ease homeopathic allergy reliever; and Sinus Buster homeopathic sinus congestion reliever. In addition, the company markets and distributes branded prescription products to treat various disease states, including pain, cough/cold and allergies, contact dermatitis, sleep disorders, and swimmer�s ear. It serves chain drug stores, drug wholesalers, managed care purchasing organizations, federal government agencies, generic distributors, mass merchandisers, and mail order pharmacies. Hi-Tech Pharmacal Co., Inc. was founded in 1982 and is headquartered in Amityville, New York. As of April 17, 2014, Hi-Tech Pharmacal Co., Inc. operates as a subsidiary of Akorn Operating Company LLC."
561493203,"Cyclerion Therapeutics, Inc., a biopharmaceutical company, develops treatments for serious diseases. It is developing Olinciguat, an orally administered vascular soluble guanylate cyclase (sGC) stimulator, which is in Phase 2 clinical trial to out-license for cardiovascular diseases; and Praliciguat, a systemic sGC stimulator that is licensed to Akebia Therapeutics, Inc. for the treatment of rare kidney disease. The company was incorporated in 2018 and is headquartered in Cambridge, Massachusetts."
128739842,"Puma Biotechnology, Inc., a biopharmaceutical company, focuses on the development and commercialization of products to enhance cancer care in the United States and internationally. The company offers NERLYNX, an oral version of neratinib that is used to treat adult patients with early stage HER2-overexpressed/amplified breast cancer; and advanced or metastatic HER2-positive breast cancer when combined with capecitabine. It also develops alisertib, a small molecule inhibitor of aurora kinase A for the treatment of hormone receptor positive breast cancer, triple negative breast cancer, small cell lung cancer, and head and neck cancer. The company sells its products through specialty pharmacy and distributor networks. It has license agreements with Pfizer Inc. for the development, manufacture, and commercialization of neratinib (oral), neratinib (intravenous), PB357, and related compounds; and Takeda Pharmaceutical Company Limited for the research, development, and commercialization of alisertib, as well as sub-license agreements with Specialised Therapeutics Asia Pte Ltd., Medison Pharma Ltd., Pint Pharma International SA, Knight Therapeutics, Inc., Pierre Fabre Medicament SAS, and Bixink Therapeutics Co., Ltd. The company was founded in 2010 and is headquartered in Los Angeles, California."
322758292,"LogicBio Therapeutics, Inc., a genetic medicine company, focuses on developing and commercializing genome editing and gene therapy treatments using its GeneRide and sAAVy platforms. The company�s GeneRide technology is a new approach to precise gene insertion harnessing a cell's natural deoxyribonucleic acid; and gene delivery platform, sAAVy is an adeno-associated virus, which is designed to optimize gene delivery for treatments in a range of indications and tissues. Its lead product candidate is LB-001 that is in Phase I/II clinical trials for the treatment of methylmalonic acidemia. The company has a collaboration with Children's Medical Research Institute to develop capsids for gene therapy and gene editing applications in the liver, as well as additional tissues; and a collaboration agreement with Takeda Pharmaceutical Company Limited to develop LB-301, an investigational therapy for the treatment of Crigler-Najjar syndrome. It also has a research collaboration, license, and option agreement with CANbridge Care Pharma Hong Kong Limited; and collaboration agreement with Daiichi Sankyo Company. The company was incorporated in 2014 and is based in Lexington, Massachusetts. As of November 15, 2022, LogicBio Therapeutics, Inc. operates as a subsidiary of Alexion Pharmaceuticals, Inc."
23972721,"Pharma Foods International Co., Ltd. engages in the development and sale of functional food ingredients in Japan. It also focuses on biomedical drug discovery of antibody, and peptide and diagnostics. Pharma Foods International Co., Ltd. was founded in 1997 and is based in Kyoto, Japan."
1341470,"MedImmune, LLC operates a biologics research and development company that researches, develops, and explores medicines for unmet medical needs across therapeutic areas, including respiratory, inflammation, and autoimmunity, cardiovascular and metabolic diseases; oncology; neuroscience; and infection and vaccines. The company offers Synagis palivizumab, a monoclonal antibody to prevent serious lower respiratory tract diseases; IMFINZI, a human monoclonal antibody product for the treatment of patients with locally advanced and metastatic urothelial carcinoma; FluMist Quadrivalent Influenza Vaccine Live, Intranasal, a quadrivalent influenza vaccine; Trivalent FluMist T/LAIV, a live attenuated influenza vaccine; and MEDI8897, an extended half-life respiratory syncytial virus RSV F monoclonal antibody mAb used for the prevention of lower respiratory tract infection caused by RSV. The company was incorporated in 1987 and is based in Gaithersburg, Maryland. As of June 5, 2007, MedImmune, LLC operates as a subsidiary of AstraZeneca PLC"
35868,"On October 11, 2006, TL Administration Corp. went out of business as per its Chapter 11 liquidation filing under bankruptcy. TL Administration Corporation engages in the manufacture and marketing of nutritional supplements. It offers vitamins, minerals, nutraceuticals, herbs, teas, and sports nutrition products. The company sells its products in the Americas, Europe, Asia, Africa, the Middle East, India, Pakistan, and the Pacific. TL Administration Corp. was formerly known as Twinlab Corporation. The company was founded in 1996 and is headquartered in Hauppauge, New York with additional offices in Manhattan, New York; Grand Rapid, Michigan; and American Fork, Utah."
319639,"Tolmar Therapeutics, Inc. develops pharmaceutical and healthcare products. It offers prostate cancer treatment products, dermatology products, and dental products. Tolmar Therapeutics, Inc. was formerly known as QLT USA, Inc. and changed the name to Tolmar Therapeutics, Inc. in October 2009. The company was founded in 1986 and is based in Fort Collins, Colorado. As of October 1, 2009, Tolmar Therapeutics, Inc. operates as a subsidiary of TOLMAR Inc."
1906420,"AVEO Pharmaceuticals, Inc., an oncology-focused biopharmaceutical company, focuses on developing and commercializing medicines for patients with cancer. It markets FOTIVDA, an oral, vascular endothelial growth factor receptor tyrosine kinase inhibitor, which is used for the treatment of adult patients with relapsed or refractory advanced renal cell carcinoma (RCC). The company is also developing tivozanib for the treatment of RCC, hepatocellular carcinoma, ovarian cancer, immunologically cold tumors, and cholangiocarcinoma. In addition, it is developing Ficlatuzumab, a potent humanized immunoglobulin G1 (IgG1) monoclonal antibody that targets hepatocyte growth factor that is in Phase II clinical trial for the treatment of head and neck squamous cell carcinoma, pancreatic cancer, and acute myeloid leukemia; AV-380, a potent humanized IgG1 inhibitory monoclonal antibody for the treatment or prevention of cachexia; AV-203, a potent humanized IgG1 monoclonal antibody that targets ErbB3; and AV-353 that targets the Notch 3 pathway. The company has collaborations and license agreements with AstraZeneca PLC; EUSA Pharma (UK) Limited; Biodesix, Inc.; CANbridge Life Sciences, Ltd.; Biogen Idec International GmbH; St. Vincent�s Hospital Sydney Limited; and Kyowa Kirin Co., Ltd. AVEO Pharmaceuticals, Inc. was formerly known as GenPath Pharmaceuticals, Inc. and changed its name to AVEO Pharmaceuticals, Inc. in March 2005. The company was incorporated in 2001 and is based in Boston, Massachusetts. As of January 19, 2023, AVEO Pharmaceuticals, Inc. operates as a subsidiary of LG Chem, Ltd."
30808,"As of February 1, 2017, LifeCell Corporation was acquired by Allergan plc. LifeCell Corporation operates as a regenerative medicine company. The company�s portfolio of products include soft-tissue repair products for abdominal wall reconstruction, breast reconstruction, and breast plastic surgery; products that help surgeons to intraoperatively assess tissue perfusion; and other products for additional applications and procedures, including grafting and ENT/head and neck plastic reconstruction. It markets its products through distributors throughout the United States and internationally. The company was founded in 1986 and is based in Branchburg, New Jersey."
23782495,"Bioventix PLC creates, manufactures, and supplies sheep monoclonal antibodies (SMAs) for diagnostic applications worldwide. The company offers a portfolio of purified SMAs for thyroid, vitamin D, cardiac, drugs of abuse, fertility, oncology, and miscellaneous indications; Pyrene 1-hydroxypyrene glucuronide (HOP-G) ELISA kit to monitor human exposure to industrial pollutants; and Pyrene (HOP-G) lateral flow kits for monitoring of at-risk individuals without laboratory equipment. It also provides contract SMAs services; and industrial and environmental biomonitoring platform, which reduces the time between sampling and results. Bioventix PLC was incorporated in 2003 and is based in Farnham, United Kingdom."
8083355,"AnGes, Inc., a biopharmaceutical company, engages in the research and development of gene-based medical products. Its lead product is Hepatocyte Growth Factor (HGF) Plasmid, a gene therapy for the treatment of ischemic diseases. The company is also developing NF-kB Decoy Oligonucleotide, a nucleic acid medicine that suppresses inflammation for diseases, including low back pain; drugs for treating atopic dermatitis and asthma; medical devices for the prevention of vascular medicine; cervical intraepithelial neoplasia therapeutic vaccines for cervical cancer; and DNA vaccines for high blood pressure through collaborative research agreement with Osaka University. The company was formerly known as AnGes MG, Inc. and changed its name to AnGes, Inc. in July 2017. AnGes, Inc. was incorporated in 1999 and is headquartered in Ibaraki, Japan."
613097171,"MBX Biosciences, Inc., a clinical-stage biopharmaceutical company, focuses on the discovery and development of precision peptide therapies for the treatment of endocrine and metabolic disorders. Its lead product candidate is MBX 2109, a parathyroid hormone peptide prodrug, which is in Phase 2 clinical trial designed as a potential long-acting hormone replacement therapy for the treatment of chronic hypoparathyroidism. The company is also developing MBX 1416, a long-acting glucagon-like peptide-1 (GLP-1) receptor antagonist that is in Phase 1 clinical trial designed as a potential therapy for post-bariatric hypoglycemia, a chronic complication of bariatric surgery. In addition, it is developing MBX 4291, a lead obesity product candidate, which is in investigational new drug-enabling studies designed as a long-acting and highly potent GLP-1 and glucose-dependent insulinotropic polypeptide receptor co-agonist prodrug for treating obesity and co-morbidities. The company was founded in 2018 and is based in Carmel, Indiana."
1065415,"Galectin Therapeutics Inc., a clinical stage biopharmaceutical company, engages in the research and development of therapies for fibrotic, cancer, and other diseases. Its lead product candidate is belapectin (GR-MD-02) galectin-3 inhibitor, that is in Phase 2b/3 clinical trial, to prevent esophageal varices in patient with non-alcoholic steatohepatitis (NASH) cirrhosis; and Phase 2 clinical trial for the treatment of liver fibrosis, as well as severe skin disease, and melanoma and head and neck squamous cell carcinoma. The company, through its Galectin Sciences, LLC, which is a collaborative joint venture co-owned by SBH Sciences, Inc., to research and develop small organic molecule inhibitors of galectin-3 for oral administration. The company was formerly known as Pro-Pharmaceuticals, Inc. and changed its name to Galectin Therapeutics, Inc. in May 2011. Galectin Therapeutics Inc. was founded in 2000 and is based in Norcross, Georgia."
710468587,"Mineralys Therapeutics, Inc., a clinical-stage biopharmaceutical company that develops therapies for the treatment of hypertension and chronic kidney diseases. It clinical-stage product candidate is lorundrostat, a proprietary, orally administered, highly selective aldosterone synthase inhibitor for the treatment of cardiorenal conditions affected by abnormally elevated aldosterone. The company was formerly known as Catalys SC1, Inc. and changed its name to Mineralys Therapeutics, Inc. in May 2020. The company was incorporated in 2019 and is headquartered in Radnor, Pennsylvania."
259880252,"Saniona AB (publ), a clinical-stage biopharmaceutical company, engages in the research, development, and commercialization of treatments for rare disease patients in Sweden, Germany, Denmark, the United Kingdom, and Mexico. It also develops medicines modulating ion channels. The company�s products include Tesofensine, a monoamine reuptake inhibitor that has completed Phase 3 clinical trial to treat people with obesity; and Tesomet, an oral investigational therapy, which is Phase 2b clinical trial for the treatment of hypothalamic obesity and Prader-Willi syndrome. It also develops SAN711, a positive allosteric modulator of GABAA ?3 containing receptors that has completed Phase 1 clinical trial for the treatment of absence seizures; SAN903, a novel medicine based on inhibition of the calcium-activated potassium ion channel, which has completed preclinical development for the treatment of inflammatory bowel disease; and SAN2219, a subtype selective positive allosteric modulator of GABAA ?2- ?3- and ?5 that is in preclinical stage for treatment of acute repetitive seizures. In addition, the company is developing SAN2355 to treat refractory focal onset seizures; SAN2465 to treat major depressive disorder; and other programs to treat epilepsy, Alzheimer�s, schizophrenia, and migraine. It has research and collaboration agreements with Boehringer Ingelheim International GmbH to research, develop, manufacture, and commercialize therapeutics; license agreement with Productos Medix, S.A. de C.V. develop and commercialize tesofensine and/or Tesomet; research services agreement and a collaboration agreement with Cephagenix ApS to identigy and develop novel migraine treatments; and research collaboration with AstronauTx to research, develop, manufacture, and commercialize therapeutics for Alzheimer�s disease. Saniona AB (publ) was founded in 2011 and is headquartered in Glostrup, Denmark."
431288123,"Xspray Pharma AB (publ), a pharmaceutical company, engages in the development of protein kinase inhibitors for targeted cancer treatments in Sweden. The company�s product candidates include Dasynoc, a trailblazer, under approval phase for the treatment of chronic myeloid leukemia and acute lymphoblastic leukemia; XS003, an amorphous non-crystalline nilotinib, under pivotal studies for the treatment of chronic myeloid leukemia; XS008, based on axitinib, under development for treatment of kidney cancer; and XS00Y under development phase. It has partnership agreements with EVERSANA for the commercialization of Dasynoc, as well as with NerPharMa for commercial production of Dasynoc. The company was formerly known as Xspray Microparticles AB and changed its name to Xspray Pharma AB (publ) in 2017. Xspray Pharma AB (publ) was incorporated in 2003 and is headquartered in Solna, Sweden."
307500026,"Vaxcyte, Inc., a clinical-stage biotechnology vaccine company, develops novel protein vaccines to prevent or treat bacterial infectious diseases. Its lead vaccine candidate is VAX-24, a 24-valent investigational pneumococcal conjugate vaccine for the prevention of invasive pneumococcal disease. The company also develops VAX-31 to protect against emerging strains and to help address antibiotic resistance; VAX-A1, a novel conjugate vaccine candidate to prevent disease caused by Group A Streptococcus; VAX-PG, a novel protein vaccine candidate targeting keystone pathogen responsible for periodontitis; and VAX-GI to prevent Shigella, a bacterial illness. The company was formerly known as SutroVax, Inc. and changed its name to Vaxcyte, Inc. in May 2020. Vaxcyte, Inc. was incorporated in 2013 and is headquartered in San Carlos, California."
590661061,"Lyell Immunopharma, Inc., a clinical-stage cell therapy company, develops T cell reprogramming technologies for patients with solid tumors. The company develops therapies using an ex vivo genetic reprogramming technologies, such as c Jun overexpression and NR4A3 gene knockout, to endow resistance to T cell exhaustion; and an ex vivo epigenetic reprogramming technologies, including Epi R to generate population of T cells with durable stemness, and Stim R, a proprietary synthetic cell mimetic. It is also developing LYL797, a genetically and epigenetically reprogrammed ROR1 chimeric antigen receptor (CAR) T cell product candidate that is in Phase 1 clinical trial for the treatment of various solid tumors; and LYL845, a novel epigenetically reprogrammed tumor-infiltrating lymphocytes product candidate, which is in Phase 1 clinical trial targeting multiple solid tumor indications. In addition, the company�s preclinical product candidates include LYL119, a ROR1 CAR T-cell product for the treatment of enhanced cytotoxicity; and second generation TIL product. Lyell Immunopharma, Inc. was incorporated in 2018 and is headquartered in South San Francisco, California."
882300,"UCB Pharma GmbH develops, manufactures, and markets pharmaceutical and biotechnological products. It develops novel medicines in therapeutic of neurology and immunology. UCB Pharma GmbH was formerly known as Schwartz Pharma AG. The company was founded in 1928 and is based in Monheim, Germany. UCB Pharma GmbH operates as a subsidiary of UCB SA."
288228332,"Tyme Technologies, Inc., a biotechnology company, develops cancer metabolism-based therapies (CMBTs) in the United States. Its lead drug product is SM-88, a CMBT that is in a Phase II/III clinical trial to treat across 15 types of cancer, including pancreatic, prostate, breast, lung, glioma, ovarian, sarcoma, and colon. The company is also developing TYME-19, an oral synthetic member of the bile acid family, which is in preclinical stage for the treatment of SARS CoV-2 diseases; and TYME-18, a CMBT compound that is in preclinical stage for the treatment of inoperable tumors. It has research collaborations with Mayo Clinic to perform in-depth analysis of pancreatic cancer cell gene expression, epigenetic, and metabolism changes from SM-88 treatment; and a research investigator at Georgetown University to examine the effects of SM-88 in breast cancer. The company was formerly known as Global Group Enterprises Corp. The company was incorporated in 2011 and is headquartered in Bedminster, New Jersey. Tyme Technologies, Inc. operates as a subsidiary of Syros Pharmaceuticals, Inc."
326042490,"As of June 20, 2024, AVROBIO, Inc. was acquired by Tectonic Therapeutic, Inc., in a reverse merger transaction. AVROBIO, Inc., a clinical-stage gene therapy company, develops hematopoietic stem cell gene therapies to treat rare diseases in the United States. Its gene therapies employ hematopoietic stem cells that are harvested from the patient and then modified with a lentiviral vector to insert the equivalent of a functional copy of the gene that is mutated in the target disease. The company�s pipeline includes AVR-RD-02, which is in phase 1/2 clinical trial for the treatment of Gaucher disease type 1 and 3; AVR-RD-01, which is in phase 2 clinical trials for the treatment of Fabry disease; and AVR-RD-03 that is in preclinical stage for the treatment of Pompe disease. The company was incorporated in 2015 and is headquartered in Cambridge, Massachusetts."
590571226,"Mirum Pharmaceuticals, Inc., a biopharmaceutical company, focuses on the development and commercialization of novel therapies for debilitating rare and orphan diseases. Its lead product candidate is LIVMARLI (maralixibat), an orally administered and minimally absorbed ileal bile acid transporter (IBAT) inhibitor that is approved for the treatment of cholestatic pruritus in patients with Alagille syndrome in the United States and internationally. The company is also involved in the commercialization of Cholbam, a cholic acid capsule, which is approved as treatment for pediatric and adult patients with bile acid synthesis disorders due to single enzyme defects and for adjunctive treatment of patients with peroxisomal disorders, including peroxisome biogenesis disorder-Zellweger spectrum disorder and Smith-Lemli-Opitz syndrome; and Chenodal, a tablet, which is approved for the treatment of radiolucent stones in the gallbladder, and under Phase 3 development for the treatment cerebrotendinous xanthomatosis. In addition, it develops Volixibat, an oral and minimally absorbed agent designed to inhibit IBAT, currently under Phase 2b clinical trial for the treatment of adult patients with cholestatic liver diseases. The company was incorporated in 2018 and is headquartered in Foster City, California."
413195889,"Harpoon Therapeutics, Inc., a clinical-stage immunotherapy company, engages in the development of a novel class of T cell engagers that harness the power of the body�s immune system to treat patients suffering from cancer and other diseases in the United States. The company develops tri-specific T cell activating construct (TriTAC) product candidate, including HPN328, which is in Phase I/II clinical trials for the treatment of small cell lung cancer and other Delta-like canonical Notch ligand 3-expressing tumors; and HPN217 that is in Phase I clinical trials for the treatment of multiple myeloma. Its preclinical stage product is HPN601 for the treatment of multiple solid tumor indications. It has a discovery collaboration and license agreement with AbbVie Biotechnology Ltd. to develop and commercialize products that incorporate its proprietary TriTAC platform technology together with soluble T cell receptors. The company was incorporated in 2015 and is headquartered in South San Francisco, California. As of March 11, 2024, Harpoon Therapeutics, Inc. operates as a subsidiary of Merck Sharp & Dohme LLC.
"
30828389,"As of May 26, 2020, Conatus Pharmaceuticals Inc. was acquired by Histogen Inc., in a reverse merger transaction. Conatus Pharmaceuticals Inc., a biotechnology company, focuses on the development and commercialization of novel medicines for the treatment of liver diseases in the United States. Its product candidate includes Emricasan, an orally active caspase protease inhibitor that is in Phase IIb clinical trials for post-orthotopic liver transplant as a result of hepatitis C virus infection with sustained viral response; for portal hypertension; for liver fibrosis caused by nonalcoholic steatohepatitis; and for liver function. The company is also developing CTS-2090, an orally active inhibitor of caspase 1, which is in preclinical development stage for treating chronic diseases involving inflammasome pathways. The company has a collaboration agreement with Novartis to conduct three Phase IIb clinical trials. Conatus Pharmaceuticals Inc. was founded in 2005 and is headquartered in San Diego, California."
21881019,"FUJIFILM Cellular Dynamics, Inc. develops and manufactures human cells worldwide. Its products include human cells in multiple cell types, human induced pluripotent stem cells, and custom iPSCs and iCell products; iCell Cardiomyocytes, which are purified human heart cells; and iCell Neurons that are purified human neurons typical of the forebrain for pre-clinical drug discovery and neurotoxicity testing, as well as disease modeling for Alzheimer�s diseases, Parkinson�s diseases, Huntington�s diseases, and others. It also offers iCell DopaNeurons that are purified human midbrain dopaminergic neurons; iCell Endothelial cells, which are interior surface blood vessel cells for use in vascular biology research, such as angiogenesis, atherosclerosis, inflammation, and other life science research; and iCell Hepatocytes that are human liver cells. In addition, the company offers MyCell products for making iPSCs for stem cell banking, cell modeling of specific ethnic or disease populations, and genetic engineering for in vitro research; and media and reprogramming kits for making iPSCs for limited research use. Furthermore, it offers neural cells, which includes iCell Astrocytes; iCell GABANeurons; iCell GlutaNeurons; iCell Microglia; iCell Motor Neurons; iCell Retinal Pigment Epithelial Cells; and hematopoietic and other cells, such as iCell iCell Macrophages; and iCell Mesenchymal Stem Cells. It serves biopharmaceutical companies, government research institutions, academic and nonprofit research institutions, contract research organizations, and stem cell banks. FUJIFILM Cellular Dynamics, Inc. was formerly known as Cellular Dynamics International, Inc. and changed its name to FUJIFILM Cellular Dynamics, Inc. in January 2018. The company was founded in 2004 and is based in Madison, Wisconsin. FUJIFILM Cellular Dynamics, Inc. operates as a subsidiary of FUJIFILM Holdings America Corporation."
1765584396,"Septerna, Inc., a clinical-stage biotechnology company, discovers and develops G protein-coupled receptor (GPCR) oral small molecule products candidates for the treatment of endocrinology, immunology and inflammation, and metabolic diseases. The company develops SEP-786, an oral small molecule PTH1R agonist for hypoparathyroidism; SEP-631, an oral small molecule MRGPRX2 NAM for chronic spontaneous urticaria and other mast cell diseases; TSHR Program, an oral small molecule TSHR NAM for Graves� disease and thyroid eye disease. It also develops oral small molecule single- and multi-incretin receptor agonists for metabolic disorders including obesity and type 2 diabetes. Septerna, Inc. was formerly known as GPCR NewCo, Inc. and changed its name to Septerna Inc. in June 2021. The company was incorporated in 2019 and is headquartered in South San Francisco, California."
34145,"Seagen Inc., a biotechnology company, develops and commercializes therapies for the treatment of cancer in the United States and internationally. It offers ADCETRIS, an antibody-drug conjugate (ADC) for the treatment of patients with Hodgkin lymphoma or CD30-positive T-cell lymphomas; PADCEV, an ADC targeting Nectin-4 for the treatment of adult patients with advanced or metastatic urothelial cancer; and TUKYSA, an oral small molecule tyrosine kinase inhibitor for the treatment of adult patients with advanced unresectable or metastatic HER2-positive breast cancer. The company also develops TIVDAK for metastatic cervical cancer and other solid tumors; Ladiratuzumab Vedotin, an ADC targeting LIV-1 for metastatic breast cancer and solid tumors; Disitamab Vedotin, a novel HER2-targeted ADC; and SEA-TGT and SEA-CD70 for various cancer diseases. It has collaboration agreements with Takeda Pharmaceutical Company Limited; Agensys, Inc.; Genmab A/S; Merck; and RemeGen, Co. Ltd. The company was formerly known as Seattle Genetics, Inc. and changed its name to Seagen Inc. in October 2020. Seagen Inc. was incorporated in 1997 and is headquartered in Bothell, Washington. As of December 14, 2023, Seagen Inc. operates as a subsidiary of Pfizer Inc.
"
357173,"Biora AB engages in the development, manufacture, and marketing of biotechnology-based products. Its principal product, EmdogainGel, promotes the regain of tooth-supporting tissues, which have been lost due to a periodontal disease. Research and development at Biora focuses on developing novel proprietary products for the dental market and on expanding the indications for EmdogainGel. EmdogainGel is developed from enamel matrix proteins. Enamel matrix proteins plays an important role in tooth development and in the formation of tooth-supporting structures. EmdogainGel provides dentists with an improved solution for treating patients with periodontal defects in the surrounding bone tissue. It is marketed in Europe, North America, and Asia through the company's sales force, wholly owned subsidiaries, and distributors. The company's PrefGel is a more tissue-friendly product for conditioning and cleaning tooth surfaces than presently utilized acids and is intended to further strengthen the biology-based approach to periodontal therapy. Another product under development is the xerostomia-project to treat dry mouth. The company was founded in 1986 and is based in Malmo, Sweden. As of June 11, 2003, Biora AB operates as a subsidiary of Institut Straumann AG."
32158,"As of July 29, 1999, NeXstar Pharmaceuticals, Inc. was acquired by Gilead Sciences Inc. NeXstar Pharmaceuticals, Inc. discovers, develops, manufactures, and markets proprietary pharmaceutical products to treat oncological, hematological, and infectious diseases. The company was formerly known as NeXagen, Inc. and changed its name to NeXstar Pharmaceuticals, Inc. in February, 1995. NeXstar Pharmaceuticals, Inc. was founded in 1991 and is based in Boulder, Colorado."
143317976,"Wuhan YZY Biopharma Co., Ltd., a biotechnology company, develops bispecific antibody-based therapies for the treatment of cancer, cancer-related complications, and age-related eye diseases. It develops various product candidates for the treatment of malignant ascites, malignant pleural effusion, solid tumors, pancreatic cancer, hepatocellular carcinoma and other advanced solid tumors, small cell lung cancer, relapsed/refractory multiple myeloma, and HER2-positive solid tumors; and covid 19 indication, as well as wAMD, DME, and other ocular neovascularization-related diseases. The company was founded in 2010 and is based in Wuhan, China."
613454849,"CinCor Pharma, Inc., a clinical-stage biopharmaceutical company, engages in the development of drugs for the treatment for cardio-renal diseases. It is involved in developing CIN-107, which is in Phase II clinical trial for the treatment of hypertension, primary aldosteronism, and other cardio-renal diseases, as well as in Phase I clinical trial to treat chronic kidney diseases. The company was incorporated in 2018 and is based in Waltham, Massachusetts. As of February 23, 2023, CinCor Pharma, Inc. operates as a subsidiary of AstraZeneca Finance and Holdings Inc."
683713,"ACADIA Pharmaceuticals Inc., a biopharmaceutical company, focuses on the development and commercialization innovative medicines that address unmet medical needs in central nervous system (CNS) disorders and rare diseases in the United States. The company offers NUPLAZID (pimavanserin) for the treatment of hallucinations and delusions associated with Parkinson�s disease psychosis; and DAYBUE, a novel synthetic analog of the amino-terminal tripeptide of insulin-like growth factor 1 for treatment of Rett Syndrome. It also develops Pimavanserin that is in Phase III ADVANCE-2 study to treat the negative symptoms of schizophrenia; ACP-101 whixh is in Phase III for the treatment of hyperphagia in Prader-Willi syndrome; ACP-204 which is in Phase II for the treatment of Alzheimer�s disease psychosis; ACP-2591 that is in Phase I for Rett syndrome and Fragile X syndrome; preclinical antisense oligonucleotide programs; and other programs for neuropsychiatric symptoms. It has a license agreement with Neuren Pharmaceuticals Limited to develop and commercialize trofinetide for Rett syndrome and other indications; and a license and collaboration agreement with Stoke Therapeutics, Inc. to discover, develop and commercialize novel RNA-based medicines for the potential treatment of severe and rare genetic neurodevelopmental diseases of the CNS. The company was formerly known as Receptor Technologies, Inc. and changed its name ACADIA Pharmaceuticals Inc. in 1997. ACADIA Pharmaceuticals Inc. was incorporated in 1993 and is headquartered in San Diego, California."
60928021,"MedRx Co., Ltd, a pharmaceutical formulation development company, provides pharmaceutical drugs based on the transdermal absorption system in Japan. The company develops medicines based on Ionic liquid transdermal system (ILTS) and Nano-sized Colloid Transdermal System (NCTS); and researches and develops painless transdermal administration system for vaccines, nucleic acid medicines, protein medicines, etc. Its products pipeline includes MRX-4TZT, which is in phase I clinical trials for the treatment of spastic paralysis; MRX-9FLT that is in phase I clinical trials to treat chronic, cancer, and severe pain; and MRX-7MLL and MRX-6LDT that is in pre-clinical trials to treat Alzheimer�s disease and chronic pain, as well as MRX-5LBT that has completed the clinical trials for the treatment of postherpetic nerve pain. MedRx Co., Ltd was incorporated in 2002 and is headquartered in Higashikagawa, Japan."
